epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.909989218711853,1.7798793118340628,0.3171428571428571,0.2619587925819596,0.31714285714285717,0.26213116242973894,0.26213116242973894,0.0,0.5166666666666667,0.62,0.5636363636363637,0.4090909090909091,0.36,0.3829787234042554,0.0,0.0,0.0,0.0,0.0,0.0,0.208955223880597,0.56,0.30434782608695654,0.4117647058823529,0.14,0.208955223880597,0.2872340425531915,0.54,0.375
2,1.7846176024845668,1.7367215844563075,0.2857142857142857,0.3085812730797835,0.2857142857142857,0.22604754987739722,0.22604754987739725,0.03773584905660377,0.36363636363636365,0.72,0.4832214765100672,0.32075471698113206,0.34,0.3300970873786408,0.3333333333333333,0.02,0.03773584905660377,0.18181818181818182,0.04,0.06557377049180327,0.21052631578947367,0.32,0.25396825396825395,0.25,0.52,0.33766233766233766,0.5,0.04,0.07407407407407407
3,1.7327073526382446,1.657073335647583,0.34,0.3629443507492288,0.33999999999999997,0.29468935158463283,0.2946893515846328,0.07407407407407407,0.4772727272727273,0.84,0.6086956521739131,0.25,0.44,0.31884057971014496,0.2682926829268293,0.44,0.33333333333333337,0.3333333333333333,0.06,0.10169491525423728,0.3333333333333333,0.28,0.30434782608695654,0.5,0.04,0.07407407407407407,0.3783783783783784,0.28,0.3218390804597701
4,1.6867132329940795,1.6311824451174055,0.35714285714285715,0.3632990782465086,0.3571428571428572,0.3300993784200297,0.33009937842002973,0.13793103448275865,0.582089552238806,0.78,0.6666666666666667,0.3103448275862069,0.36,0.3333333333333333,0.22727272727272727,0.1,0.1388888888888889,0.21621621621621623,0.32,0.25806451612903225,0.5,0.08,0.13793103448275865,0.3103448275862069,0.36,0.3333333333333333,0.3968253968253968,0.5,0.4424778761061947
5,1.663969076701573,1.6036566652570452,0.35428571428571426,0.3259958870657233,0.35428571428571426,0.32499037176741014,0.32499037176741014,0.13333333333333333,0.5588235294117647,0.76,0.6440677966101696,0.27586206896551724,0.16,0.20253164556962025,0.2,0.1,0.13333333333333333,0.16666666666666666,0.14,0.15217391304347827,0.3584905660377358,0.38,0.3689320388349514,0.3783783783783784,0.28,0.3218390804597701,0.34375,0.66,0.4520547945205479
6,1.615573479788644,1.6034003550665719,0.38571428571428573,0.37668890061425836,0.38571428571428573,0.35539250158037106,0.35539250158037106,0.12307692307692307,0.6271186440677966,0.74,0.6788990825688074,0.29411764705882354,0.5,0.37037037037037035,0.26666666666666666,0.08,0.12307692307692307,0.2708333333333333,0.26,0.2653061224489796,0.44,0.22,0.29333333333333333,0.3448275862068966,0.2,0.2531645569620254,0.39325842696629215,0.7,0.5035971223021583
7,1.5949755600520543,1.5974077490397862,0.3485714285714286,0.3080346007357611,0.3485714285714286,0.321029170802971,0.32102917080297094,0.03225806451612903,0.547945205479452,0.8,0.6504065040650406,0.35185185185185186,0.38,0.3653846153846154,0.08333333333333333,0.02,0.03225806451612903,0.1956521739130435,0.18,0.18749999999999997,0.30612244897959184,0.3,0.3030303030303031,0.2835820895522388,0.38,0.32478632478632474,0.3877551020408163,0.38,0.3838383838383838
8,1.5793500913892473,1.5801669495446342,0.3742857142857143,0.3803705381786021,0.3742857142857142,0.36989131853682206,0.369891318536822,0.1864406779661017,0.6440677966101694,0.76,0.6972477064220184,0.28,0.28,0.28,0.391304347826087,0.18,0.2465753424657534,0.16176470588235295,0.22,0.1864406779661017,0.3793103448275862,0.44,0.4074074074074074,0.3617021276595745,0.34,0.3505154639175258,0.4444444444444444,0.4,0.4210526315789474
9,1.5511984852382115,1.5976995413643973,0.35428571428571426,0.33761327829490034,0.35428571428571426,0.33190668727587763,0.33190668727587763,0.11594202898550725,0.5606060606060606,0.74,0.6379310344827586,0.28205128205128205,0.44,0.34375,0.21052631578947367,0.08,0.11594202898550725,0.25,0.3,0.2727272727272727,0.3333333333333333,0.28,0.30434782608695654,0.3333333333333333,0.16,0.21621621621621623,0.39344262295081966,0.48,0.43243243243243246
10,1.5311868715286254,1.6183503784452167,0.3514285714285714,0.3945407205769357,0.3514285714285714,0.31833307978796604,0.31833307978796604,0.07547169811320754,0.5405405405405406,0.8,0.6451612903225806,0.29508196721311475,0.36,0.32432432432432434,0.24324324324324326,0.36,0.2903225806451613,0.22413793103448276,0.26,0.24074074074074073,0.6666666666666666,0.04,0.07547169811320754,0.3888888888888889,0.14,0.20588235294117646,0.4032258064516129,0.5,0.4464285714285714
