model,accuracy,macro_f1,accuracy_percent,macro_f1_percent,n_train,n_val,n_test,feature_dimension,seed
Acoustic KNN,0.3742857142857143,0.36453078638406,37.43,36.45,2800,350,350,187,123
Acoustic Linear SVM,0.3657142857142857,0.3509758785799995,36.57,35.1,2800,350,350,187,123
Acoustic Logistic Regression,0.3742857142857143,0.3710450610999703,37.43,37.1,2800,350,350,187,123
Acoustic Extra Trees,0.4514285714285714,0.4410213150727227,45.14,44.1,2800,350,350,187,123
Acoustic Random Forest,0.42857142857142855,0.42211227274562957,42.86,42.21,2800,350,350,187,123
Acoustic SVM-RBF,0.4342857142857143,0.4350460879428953,43.43,43.5,2800,350,350,187,123
Acoustic XGBoost,0.41714285714285715,0.4102494289633369,41.71,41.02,2800,350,350,187,123
