model,accuracy_percent,macro_f1_percent,accuracy,macro_f1,seed
LogMel_CNN,36.29,35.83,0.3628571428571429,0.3582957791266977,123
LogMel_CRNN,42.29,40.35,0.4228571428571429,0.40354396021761085,123
LogMel_ResNet,38.29,36.92,0.38285714285714284,0.3692197304983057,123
Audio_BiLSTM_Attention,41.14,40.8,0.4114285714285714,0.4079630172186234,123
MFCC_1D_CNN,46.0,45.57,0.46,0.4557227644099874,123
MFCC_CNN_LSTM,41.14,41.21,0.4114285714285714,0.4120526574031997,123
MFCC_CNN_BiLSTM,45.43,44.6,0.4542857142857143,0.44598709005747006,123
MFCC_CNN_GRU,41.71,41.56,0.41714285714285715,0.4156483276952793,123
MFCC_CNN_BiGRU,48.29,48.42,0.4828571428571429,0.48417872177542925,123
